Time,Temperature (°C),Humidity (%)
23:46:32,25.8,42.0
23:46:34,25.8,42.0
23:46:37,25.8,42.0
23:46:41,27.0,80.0
23:46:44,27.6,86.0
23:46:47,27.0,80.0
23:46:50,27.3,70.0
23:46:53,27.2,59.0
23:46:56,27.0,52.0
23:46:59,27.0,47.0
23:47:02,27.0,45.0
23:47:05,27.1,43.0
23:47:08,27.0,43.0
23:47:11,26.9,43.0
23:47:14,26.9,43.0
23:47:17,26.8,43.0
23:47:20,26.8,42.0
23:47:23,26.8,42.0
23:47:26,26.5,46.0
23:47:29,26.0,48.0
23:47:32,25.9,47.0
23:47:35,25.8,47.0
23:47:38,25.5,46.0
23:47:41,24.8,46.0
23:47:44,23.4,47.0
23:47:47,22.3,50.0
23:47:50,20.9,54.0
23:47:53,20.6,57.0
23:47:56,19.8,62.0
23:47:59,19.0,65.0
23:48:02,18.2,68.0
23:48:05,17.8,70.0
23:48:08,17.2,72.0
23:48:11,16.9,73.0
23:48:14,16.8,74.0
23:48:17,16.5,75.0
23:48:20,16.3,75.0
23:48:23,16.2,76.0
23:48:26,16.1,76.0
23:48:29,16.0,77.0
23:48:33,16.0,77.0
23:48:36,16.0,78.0
23:48:39,16.0,79.0
23:48:42,15.8,79.0
23:48:45,15.8,79.0
23:48:48,15.9,79.0
23:48:51,15.7,79.0
23:48:54,15.6,79.0
23:48:57,15.5,79.0
23:49:00,15.4,78.0
23:49:03,15.2,78.0
23:49:06,15.1,78.0
23:49:09,15.0,78.0
23:49:12,15.0,78.0
23:49:15,14.9,80.0
23:49:18,14.7,80.0
23:49:21,14.8,80.0
23:49:24,14.6,80.0
23:49:27,14.4,80.0
23:49:30,14.4,80.0
23:49:33,14.3,80.0
23:49:36,14.2,80.0
23:49:39,14.1,80.0
23:49:42,14.0,80.0
23:49:45,14.0,80.0
23:49:48,14.0,80.0
23:49:51,14.0,80.0
23:49:54,13.9,80.0
23:49:57,13.9,81.0
23:50:00,13.8,81.0
23:50:03,13.8,81.0
23:50:06,13.7,81.0
23:50:09,13.6,82.0
23:50:12,13.6,82.0
23:50:15,13.5,82.0
23:50:18,13.4,82.0
23:50:21,13.4,82.0
23:50:24,13.4,82.0
23:50:28,13.3,82.0
23:50:31,13.2,82.0
23:50:34,13.2,83.0
23:50:37,13.2,83.0
23:50:40,13.1,83.0
23:50:43,13.0,83.0
23:50:46,13.1,83.0
23:50:49,13.0,83.0
23:50:52,13.2,84.0
23:50:55,13.0,84.0
23:50:58,13.0,84.0
