x,y,z
-0.8590274421589044,4.394242425865116,8.141834644836603
-6.257334262622372,8.758733485716146,3.0981216816640185
-1.2892547531533758,-0.9638475129698243,-5.950523750690124
-2.755237238992594,-6.100711776216141,6.74301912082737
0.6163022846200779,6.8208667170823,-3.267864567054513
-6.205766170147216,1.6684487855409547,6.469426244170911
8.811840911101282,8.849350460570989,9.259513733540704
-2.175839629754856,0.059764913502158734,-2.699268128517465
-3.451634805414976,2.8692422065552226,0.8839362869027241
9.704956771657972,9.399673275330649,-6.957271703031349
4.261812679246242,9.381466019417182,5.95695993650892
3.9432697928363254,-6.7063789024910285,-9.874594530919644
-3.695640409896672,-1.512322997803249,5.328663924528264
4.621609919329124,-8.369207677353588,-1.8040323664111177
6.300855293728574,-2.1864065632741125,-2.274085710737306
6.486960714244908,3.619184516488229,0.6722898932238746
8.06712971309097,-6.133666152560449,-8.781935466442484
-5.352203324025799,5.979648012351269,-8.815778392671469
-4.879810135562073,-5.908972670431824,-4.914024037202383
6.222136144569813,9.662122436914615,-5.649202387458756
