x,y,z
4.394187797884522,-1.784845558187298,-0.04822328633028938
-9.813092647512033,6.617666982172356,-0.6162759489733833
4.399646004464204,-5.847814553799391,7.5246653436615105
-4.315726484638136,6.182843693756688,-0.293898969605662
8.120462242426811,1.8501994622111457,6.408987252957761
-4.605544720623773,-6.750776020754035,4.718431945084408
-4.846732180190991,-1.3157945224469145,-2.3458447188173874
8.834502145448539,7.728332713062056,-9.634453649376727
-0.5114286896715985,-5.4536544002914455,-5.4526756193112424
-1.6719188467862125,-8.338635875299849,-4.5106272741530145
-2.877733739512232,-2.317339090239276,-0.8512547634295515
-7.898831100837422,-7.9953657707034615,5.454003340880874
9.705066578452517,2.761018114815199,4.530007963497445
-4.260943676107212,5.086567626727467,3.0027082739001454
0.6870700230344369,-1.1078695331773432,4.5010838876404495
4.183542780435751,-4.510458048442634,-6.7883742511647664
-8.516502945442653,-5.779671817599043,-2.035282409308376
-8.89397041697752,-3.5795618608231017,6.257590128194661
-4.581142975515606,2.150527615761069,-9.332517360020972
-0.1665021002973699,5.824327843636777,-5.29636058750077
